UWI,Well Type (Simple),Field,Pool,Formation,Status (Detailed),Status (Simple),Total Depth (TD),Total Vertical Depth (TVD),Surface Longitude,Surface Latitude,Estimated LLR (Well),2013-01 Prod - Oil,2013-02 Prod - Oil,2013-03 Prod - Oil,2013-04 Prod - Oil,2013-05 Prod - Oil,2013-06 Prod - Oil,2013-07 Prod - Oil,2013-08 Prod - Oil,2013-09 Prod - Oil,2013-10 Prod - Oil,2013-11 Prod - Oil,2013-12 Prod - Oil,2014-01 Prod - Oil,2014-02 Prod - Oil,2014-03 Prod - Oil,2014-04 Prod - Oil,2014-05 Prod - Oil,2014-06 Prod - Oil,2014-07 Prod - Oil,2014-08 Prod - Oil,2014-09 Prod - Oil,2014-10 Prod - Oil,2014-11 Prod - Oil,2014-12 Prod - Oil,2015-01 Prod - Oil,2015-02 Prod - Oil,2015-03 Prod - Oil,2015-04 Prod - Oil,2015-05 Prod - Oil,2015-06 Prod - Oil,2015-07 Prod - Oil,2015-08 Prod - Oil,2015-09 Prod - Oil,2015-10 Prod - Oil,2015-11 Prod - Oil,2015-12 Prod - Oil,2016-01 Prod - Oil,2016-02 Prod - Oil,2016-03 Prod - Oil,2016-04 Prod - Oil,2016-05 Prod - Oil,2016-06 Prod - Oil,2016-07 Prod - Oil,2016-08 Prod - Oil,2016-09 Prod - Oil,2016-10 Prod - Oil,2016-11 Prod - Oil,2016-12 Prod - Oil,2017-01 Prod - Oil,2017-02 Prod - Oil,2017-03 Prod - Oil,2017-04 Prod - Oil,2017-05 Prod - Oil,2017-06 Prod - Oil,2017-07 Prod - Oil,2017-08 Prod - Oil,2017-09 Prod - Oil,2017-10 Prod - Oil,2017-11 Prod - Oil,2017-12 Prod - Oil,2013-01 Prod - Gas,2013-02 Prod - Gas,2013-03 Prod - Gas,2013-04 Prod - Gas,2013-05 Prod - Gas,2013-06 Prod - Gas,2013-07 Prod - Gas,2013-08 Prod - Gas,2013-09 Prod - Gas,2013-10 Prod - Gas,2013-11 Prod - Gas,2013-12 Prod - Gas,2014-01 Prod - Gas,2014-02 Prod - Gas,2014-03 Prod - Gas,2014-04 Prod - Gas,2014-05 Prod - Gas,2014-06 Prod - Gas,2014-07 Prod - Gas,2014-08 Prod - Gas,2014-09 Prod - Gas,2014-10 Prod - Gas,2014-11 Prod - Gas,2014-12 Prod - Gas,2015-01 Prod - Gas,2015-02 Prod - Gas,2015-03 Prod - Gas,2015-04 Prod - Gas,2015-05 Prod - Gas,2015-06 Prod - Gas,2015-07 Prod - Gas,2015-08 Prod - Gas,2015-09 Prod - Gas,2015-10 Prod - Gas,2015-11 Prod - Gas,2015-12 Prod - Gas,2016-01 Prod - Gas,2016-02 Prod - Gas,2016-03 Prod - Gas,2016-04 Prod - Gas,2016-05 Prod - Gas,2016-06 Prod - Gas,2016-07 Prod - Gas,2016-08 Prod - Gas,2016-09 Prod - Gas,2016-10 Prod - Gas,2016-11 Prod - Gas,2016-12 Prod - Gas,2017-01 Prod - Gas,2017-02 Prod - Gas,2017-03 Prod - Gas,2017-04 Prod - Gas,2017-05 Prod - Gas,2017-06 Prod - Gas,2017-07 Prod - Gas,2017-08 Prod - Gas,2017-09 Prod - Gas,2017-10 Prod - Gas,2017-11 Prod - Gas,2017-12 Prod - Gas,2013-01 Prod - Condensate,2013-02 Prod - Condensate,2013-03 Prod - Condensate,2013-04 Prod - Condensate,2013-05 Prod - Condensate,2013-06 Prod - Condensate,2013-07 Prod - Condensate,2013-08 Prod - Condensate,2013-09 Prod - Condensate,2013-10 Prod - Condensate,2013-11 Prod - Condensate,2013-12 Prod - Condensate,2014-01 Prod - Condensate,2014-02 Prod - Condensate,2014-03 Prod - Condensate,2014-04 Prod - Condensate,2014-05 Prod - Condensate,2014-06 Prod - Condensate,2014-07 Prod - Condensate,2014-08 Prod - Condensate,2014-09 Prod - Condensate,2014-10 Prod - Condensate,2014-11 Prod - Condensate,2014-12 Prod - Condensate,2015-01 Prod - Condensate,2015-02 Prod - Condensate,2015-03 Prod - Condensate,2015-04 Prod - Condensate,2015-05 Prod - Condensate,2015-06 Prod - Condensate,2015-07 Prod - Condensate,2015-08 Prod - Condensate,2015-09 Prod - Condensate,2015-10 Prod - Condensate,2015-11 Prod - Condensate,2015-12 Prod - Condensate,2016-01 Prod - Condensate,2016-02 Prod - Condensate,2016-03 Prod - Condensate,2016-04 Prod - Condensate,2016-05 Prod - Condensate,2016-06 Prod - Condensate,2016-07 Prod - Condensate,2016-08 Prod - Condensate,2016-09 Prod - Condensate,2016-10 Prod - Condensate,2016-11 Prod - Condensate,2016-12 Prod - Condensate,2017-01 Prod - Condensate,2017-02 Prod - Condensate,2017-03 Prod - Condensate,2017-04 Prod - Condensate,2017-05 Prod - Condensate,2017-06 Prod - Condensate,2017-07 Prod - Condensate,2017-08 Prod - Condensate,2017-09 Prod - Condensate,2017-10 Prod - Condensate,2017-11 Prod - Condensate,2017-12 Prod - Condensate,2013-01 Prod - BOE Prod,2013-02 Prod - BOE Prod,2013-03 Prod - BOE Prod,2013-04 Prod - BOE Prod,2013-05 Prod - BOE Prod,2013-06 Prod - BOE Prod,2013-07 Prod - BOE Prod,2013-08 Prod - BOE Prod,2013-09 Prod - BOE Prod,2013-10 Prod - BOE Prod,2013-11 Prod - BOE Prod,2013-12 Prod - BOE Prod,2014-01 Prod - BOE Prod,2014-02 Prod - BOE Prod,2014-03 Prod - BOE Prod,2014-04 Prod - BOE Prod,2014-05 Prod - BOE Prod,2014-06 Prod - BOE Prod,2014-07 Prod - BOE Prod,2014-08 Prod - BOE Prod,2014-09 Prod - BOE Prod,2014-10 Prod - BOE Prod,2014-11 Prod - BOE Prod,2014-12 Prod - BOE Prod,2015-01 Prod - BOE Prod,2015-02 Prod - BOE Prod,2015-03 Prod - BOE Prod,2015-04 Prod - BOE Prod,2015-05 Prod - BOE Prod,2015-06 Prod - BOE Prod,2015-07 Prod - BOE Prod,2015-08 Prod - BOE Prod,2015-09 Prod - BOE Prod,2015-10 Prod - BOE Prod,2015-11 Prod - BOE Prod,2015-12 Prod - BOE Prod,2016-01 Prod - BOE Prod,2016-02 Prod - BOE Prod,2016-03 Prod - BOE Prod,2016-04 Prod - BOE Prod,2016-05 Prod - BOE Prod,2016-06 Prod - BOE Prod,2016-07 Prod - BOE Prod,2016-08 Prod - BOE Prod,2016-09 Prod - BOE Prod,2016-10 Prod - BOE Prod,2016-11 Prod - BOE Prod,2016-12 Prod - BOE Prod,2017-01 Prod - BOE Prod,2017-02 Prod - BOE Prod,2017-03 Prod - BOE Prod,2017-04 Prod - BOE Prod,2017-05 Prod - BOE Prod,2017-06 Prod - BOE Prod,2017-07 Prod - BOE Prod,2017-08 Prod - BOE Prod,2017-09 Prod - BOE Prod,2017-10 Prod - BOE Prod,2017-11 Prod - BOE Prod,2017-12 Prod - BOE Prod
100122207325W402,Unspecified,Marten Hills,Unspecified,Paleozoic,Drilled And Cased,Standing Cased,621,621,-113.769683,55.337387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100122207325W403,Unspecified,Marten Hills,Unspecified,Paleozoic,Drilled And Cased,Standing Cased,621,621,-113.769683,55.337387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100153107325W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,642.3,605.39,-113.836738,55.373365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100153107325W402,Gas,Marten Hills,Grand Rapids KK,Wabiskaw,Flowing,Active,642.3,605.39,-113.836738,55.373365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002278374,0,0,0,0,0,0,0,0.000117716,0,0,0.001025268,0.004556748,0.000630621,0.002050537,0.00176574,0.000569594,0.000235432,0.000113919,0,0,0,0,0.0043,0.0043,0.005,0.0014,0.0006,0.0005,0.0001,,,,,,0,0,0.0002,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379729032,0,0,0,0,0,0,0,0.019619333,0,0,0.170878065,0.759458065,0.105103571,0.341756129,0.29429,0.094932258,0.039238667,0.018986452,0,0,0,0,0.72,0.72,0.84,0.23,0.1,0.08,0.02,,,,,,0,0,0.04,,,,,,,,,0,0,0,,,,,,,,,,,
100053407325W400,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,602,602,-113.769758,55.363911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100053407325W402,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,602,602,-113.769758,55.363911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102053407325W400,Gas,Marten Hills,Commingled Pool 014,Wabiskaw,Suspended,Suspended,489,489,-113.769879,55.363864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102053407325W402,Gas,Marten Hills,Commingled Pool 013,Wabiskaw,Suspended,Suspended,489,489,-113.769879,55.363864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100153407325W400,Gas,Marten Hills,Wabiskaw O,Unspecified,Suspended,Suspended,652,652,-113.757386,55.370396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100083507325W400,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Suspended,Suspended,579,579,-113.727944,55.365779,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100083507325W402,Gas,Marten Hills,Commingled Pool 024,Wabiskaw,Flowing,Active,579,579,-113.727944,55.365779,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029504946,0.037206664,0.049668557,0.05944658,0.066870283,0.059093432,0.052402606,0.047048427,0.042613192,0.039415874,0.033195912,0.014012001,0.031327645,0.013621423,0.056617599,0.05061788,0.035884394,0.030253012,0.038504524,0.0363,0.0314,0.0319,0.027,0.0305,0.0325,0.0117,0.0142,0.0095,0.0095,0.0113,0.0115,0.0106,0.0157,0.0133,0.0166,0.0236,0.0213,0.0086,0.0007,0.0001,0.0005,0.0012,0.0036,0.0036,0.0018,0.0001,0.0027,0.0114,0.0322,0.0357,0.0001,0,0.0346,0.0463,0.0296,0.0244,0.0226,0.0116,0.0065,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.917490968,6.201110714,8.278092903,9.907763333,11.1450471,9.848905333,8.733767742,7.841404516,7.102198667,6.569312258,5.532652,2.335333548,5.221274194,2.270237143,9.436266452,8.436313333,5.980732258,5.042168667,6.417420645,6.06,5.24,5.32,4.49,5.09,5.41,1.95,2.37,1.59,1.58,1.88,1.92,1.77,2.61,2.22,2.77,3.93,3.55,1.44,0.11,0.02,0.08,0.2,0.61,0.61,0.29,0.02,0.45,1.9,5.37,5.95,0.02,0,5.77,7.71,4.94,4.06,3.77,1.94,1.08,0.3
102083507325W400,Gas,Marten Hills,Commingled Pool 012,Wabiskaw,Suspended,Suspended,576,576,-113.728179,55.365791,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102083507325W402,Gas,Marten Hills,Commingled Pool 011,Wabiskaw,Suspended,Suspended,576,576,-113.728179,55.365791,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100113507326W400,Gas,Marten Hills,Commingled Pool 001,Unspecified,Suspended,Suspended,615.7,615.7,-113.893575,55.367838,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100012607301W500,Disposal - Water,Marten Hills,Wabiskaw Undefined,Wabamun,Suspended,Suspended,624,624,-114.029075,55.347729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100083607301W500,Gas,Marten Hills,Grand Rapids E7E,Wabamun,Suspended,Suspended,630,630,-114.002119,55.365919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100083607301W502,Unspecified,Marten Hills,Unspecified,Wabamun,Drilled And Cased,Standing Cased,630,630,-114.002119,55.365919,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150607423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,602,602,-113.530654,55.386959,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100150607423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Flowing,Active,602,602,-113.530654,55.386959,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075755942,0.031026574,0.062997046,0.077810276,0.081907552,0.070394168,0.094096854,0.094552529,0.094879096,0.046137077,0.06238948,0.039529792,0.037251418,0.09888144,0.05741503,0.05650368,0.056275843,0.093701936,0.092388074,0.0918,0.0856,0.0517,0.1064,0.9526,0.0944,0.0006,0,0.0271,0.0861,0.0795,0.0781,0.0788,0.0736,0.0731,0.0964,0.0456,0.0671,0.233,0.1103,0.0647,0.0154,0.012,0.0703,0.0623,0.0713,0.0685,0.1989,0.226,0.062,0.083,0.021,0.0383,0.0321,0.0234,0.0191,0.0243,0.0283,0.045,0.0408,0.0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62599032,5.171095714,10.49950774,12.96837933,13.65125871,11.73236133,15.68280903,15.75875484,15.81318267,7.689512903,10.39824667,6.58829871,6.208569677,16.48024,9.569171613,9.41728,9.379307097,15.61698933,15.39801226,15.3,14.26,8.62,17.74,158.76,15.74,0.11,0,4.51,14.35,13.24,13.02,13.14,12.26,12.19,16.07,7.59,11.18,38.83,18.38,10.79,2.56,2,11.71,10.39,11.89,11.41,33.16,37.67,10.33,13.83,3.49,6.38,5.35,3.9,3.19,4.04,4.71,7.5,6.81,9.57
102150607423W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Suspended,Suspended,549.5,549.5,-113.531138,55.386169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102150607423W402,Gas,Marten Hills,Commingled Pool 023,Wabiskaw,Flowing,Active,549.5,549.5,-113.531138,55.386169,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2.37,,,,,,,,,
100150707423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,597,578.97,-113.527713,55.4016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100150707423W402,Gas,Marten Hills,Clearwater Undefined,Wabamun,Suspended,Suspended,597,578.97,-113.527713,55.4016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
102150707423W400,Gas,Marten Hills,Commingled Pool 001,Wabiskaw,Flowing,Active,668,544.77,-113.529724,55.401425,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21097745,0.287184999,0.413297079,0.198704608,0.133057053,0.227898176,0.227723501,0.203230978,0.197645164,0.199243823,0.163978388,0.484154516,0.287644742,0.171024531,0.144448924,0.108534152,0.221913646,0.185755848,0.151739721,0.1863,0.1972,0.184,0.2496,0.3206,0.0486,0.1072,0.0466,0.1976,0.1807,0.1451,0.1542,0.1141,0.1375,0.1449,0.1098,0.0726,0.1718,0.1461,0.1234,0.0886,0.0573,0.1562,0.1244,0.1189,0.1692,0.1325,0.1248,0.117,0.0756,0.1271,0.1743,0.165,0.0849,0.0008,0.026,0.1524,0.1596,0.1033,0.1507,0.1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.16290839,47.86416643,68.88284645,33.11743467,22.17617548,37.98302933,37.95391677,33.87182968,32.94086067,33.20730387,27.32973133,80.69241935,47.94079032,28.50408857,24.07482065,18.08902533,36.98560774,30.959308,25.28995355,31.04,32.86,30.66,41.59,53.43,8.11,17.87,7.77,32.94,30.11,24.19,25.71,19.02,22.92,24.15,18.3,12.09,28.63,24.36,20.56,14.77,9.55,26.03,20.73,19.82,28.19,22.08,20.8,19.5,12.61,21.19,29.05,27.51,14.14,0.14,4.33,25.4,26.6,17.22,25.11,22.78
100121807423W400,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,642,570.45,-113.547812,55.41154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
100121807423W402,Gas,Marten Hills,Commingled Pool 023,Wabamun,Suspended,Suspended,642,570.45,-113.547812,55.41154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,
